Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,,,,,,,,,,,,,,,,,,,,,,,,
Wings,Winner,1927,7.5,93,78,,,,,,,,,,,,,,,,,,,,,,,,
7th Heaven,Nominee,1927,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
The Racket,Nominee,1928,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
The Broadway Melody,Winner,1929,5.7,33,21,,,,,,,,,,,,,,,,,,,,,,,,
Alibi,Nominee,1929,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Revue,Nominee,1929,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
In Old Arizona,Nominee,1928,5.6,56,38,,,,,,,,,,,,,,,,,,,,,,,,
The Patriot,Nominee,1928,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
All Quiet on the Western Front,Winner,1930,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big House,Nominee,1930,7.1,75,69,,,,,,,,,,,,,,,,,,,,,,,,
Disraeli,Nominee,1929,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
The Divorcee,Nominee,1930,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
The Love Parade,Nominee,1929,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarron,Winner,1931,5.9,50,25,,,,,,,,,,,,,,,,,,,,,,,,
East Lynne,Nominee,1931,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
The Front Page,Nominee,1931,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Skippy,Nominee,1931,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Trader Horn,Nominee,1931,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Hotel,Winner,1932,7.4,86,77,,,,,,,,,,,,,,,,,,,,,,,,
Arrowsmith,Nominee,1931,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Girl,Nominee,1931,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
The Champ,Nominee,1931,7.3,90,74,,,,,,,,,,,,,,,,,,,,,,,,
Five Star Final,Nominee,1931,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hour with You,Nominee,1932,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai Express,Nominee,1932,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
The Smiling Lieutenant,Nominee,1931,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavalcade,Winner,1933,5.9,59,26,,,,,,,,,,,,,,,,,,,,,,,,
42nd Street,Nominee,1933,7.4,96,74,,,,,,,,,,,,,,,,,,,,,,,,
A Farewell to Arms,Nominee,1932,6.5,93,53,,,,,,,,,,,,,,,,,,,,,,,,
I Am a Fugitive from a Chain Gang,Nominee,1932,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady for a Day,Nominee,1933,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Women,Nominee,1933,7.2,94,78,,,,,,,,,,,,,,,,,,,,,,,,
The Private Life of Henry VIII,Nominee,1933,7.1,100,74,,,,,,,,,,,,,,,,,,,,,,,,
She Done Him Wrong,Nominee,1933,6.4,91,53,,,,,,,,,,,,,,,,,,,,,,,,
Smilin' Through,Nominee,1932,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
State Fair,Nominee,1933,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
It Happened One Night,Winner,1934,8.1,98,93,,,,,,,,,,,,,,,,,,,,,,,,
The Barretts of Wimpole Street,Nominee,1934,7,78,69,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra,Nominee,1934,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Flirtation Walk,Nominee,1934,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gay Divorcee,Nominee,1934,7.5,93,82,,,,,,,,,,,,,,,,,,,,,,,,
Here Comes the Navy,Nominee,1934,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
The House of Rothschild,Nominee,1934,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Imitation of Life,Nominee,1934,7.5,92,85,,,,,,,,,,,,,,,,,,,,,,,,
One Night of Love,Nominee,1934,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thin Man,Nominee,1934,8,97,93,,,,,,,,,,,,,,,,,,,,,,,,
Viva Villa!,Nominee,1934,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
The White Parade,Nominee,1934,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutiny on the Bounty,Winner,1935,7.7,93,83,,,,,,,,,,,,,,,,,,,,,,,,
Alice Adams,Nominee,1935,6.9,94,71,,,,,,,,,,,,,,,,,,,,,,,,
Broadway Melody of 1936,Nominee,1935,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Blood,Nominee,1935,7.7,100,89,,,,,,,,,,,,,,,,,,,,,,,,
David Copperfield,Nominee,1935,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
The Informer,Nominee,1935,7.4,94,77,,,,,,,,,,,,,,,,,,,,,,,,
The Lives of a Bengal Lancer,Nominee,1935,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
A Midsummer Night's Dream,Nominee,1935,6.9,91,62,,,,,,,,,,,,,,,,,,,,,,,,
Les Misérables,Nominee,1935,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Naughty Marietta,Nominee,1935,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruggles of Red Gap,Nominee,1935,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Hat,Nominee,1935,7.8,100,91,,,,,,,,,,,,,,,,,,,,,,,,
The Great Ziegfeld,Winner,1936,6.7,62,50,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Adverse,Nominee,1936,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodsworth,Nominee,1936,7.8,90,86,,,,,,,,,,,,,,,,,,,,,,,,
Libeled Lady,Nominee,1936,7.9,86,88,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Deeds Goes to Town,Nominee,1936,7.9,90,86,,,,,,,,,,,,,,,,,,,,,,,,
Romeo and Juliet,Nominee,1936,6.5,78,50,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,Nominee,1936,7.2,100,70,,,,,,,,,,,,,,,,,,,,,,,,
The Story of Louis Pasteur,Nominee,1936,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tale of Two Cities,Nominee,1935,7.8,92,84,,,,,,,,,,,,,,,,,,,,,,,,
Three Smart Girls,Nominee,1936,6.7,86,50,,,,,,,,,,,,,,,,,,,,,,,,
The Life of Emile Zola,Winner,1937,7.2,82,73,,,,,,,,,,,,,,,,,,,,,,,,
The Awful Truth,Nominee,1937,7.7,93,87,,,,,,,,,,,,,,,,,,,,,,,,
Captains Courageous,Nominee,1937,8,94,89,,,,,,,,,,,,,,,,,,,,,,,,
Dead End,Nominee,1937,7.3,91,76,,,,,,,,,,,,,,,,,,,,,,,,
The Good Earth,Nominee,1937,7.5,95,76,,,,,,,,,,,,,,,,,,,,,,,,
In Old Chicago,Nominee,1938,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Horizon,Nominee,1937,7.7,93,83,,,,,,,,,,,,,,,,,,,,,,,,
One Hundred Men and a Girl,Nominee,1937,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Door,Nominee,1937,7.8,96,87,,,,,,,,,,,,,,,,,,,,,,,,
A Star Is Born,Nominee,1937,7.3,100,78,,,,,,,,,,,,,,,,,,,,,,,,
You Can't Take It with You,Winner,1938,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Robin Hood,Nominee,1938,7.9,100,89,,,,,,,,,,,,,,,,,,,,,,,,
Alexander's Ragtime Band,Nominee,1938,6.9,80,46,,,,,,,,,,,,,,,,,,,,,,,,
Boys Town,Nominee,1938,7.3,90,81,,,,,,,,,,,,,,,,,,,,,,,,
The Citadel,Nominee,1938,7.1,89,72,,,,,,,,,,,,,,,,,,,,,,,,
Four Daughters,Nominee,1938,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Illusion,Nominee,1937,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jezebel,Nominee,1938,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pygmalion,Nominee,1938,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Pilot,Nominee,1938,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone with the Wind,Winner,1939,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Victory,Nominee,1939,7.5,88,81,,,,,,,,,,,,,,,,,,,,,,,,
"Goodbye, Mr. Chips",Nominee,1939,7.9,82,87,,,,,,,,,,,,,,,,,,,,,,,,
Love Affair,Nominee,1939,7.3,86,71,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Smith Goes to Washington,Nominee,1939,8.1,96,94,,,,,,,,,,,,,,,,,,,,,,,,
Ninotchka,Nominee,1939,7.9,97,89,,,,,,,,,,,,,,,,,,,,,,,,
Of Mice and Men,Nominee,1939,7.9,100,85,,,,,,,,,,,,,,,,,,,,,,,,
Stagecoach,Nominee,1939,7.9,100,86,,,,,,,,,,,,,,,,,,,,,,,,
The Wizard of Oz,Nominee,1939,8,98,89,,,,,,,,,,,,,,,,,,,,,,,,
Wuthering Heights,Nominee,1939,7.6,96,85,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca,Winner,1940,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"All This, and Heaven Too",Nominee,1940,7.5,83,85,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Correspondent,Nominee,1940,7.5,95,81,,,,,,,,,,,,,,,,,,,,,,,,
The Grapes of Wrath,Nominee,1940,8.1,100,88,,,,,,,,,,,,,,,,,,,,,,,,
The Great Dictator,Nominee,1940,8.4,93,95,,,,,,,,,,,,,,,,,,,,,,,,
Kitty Foyle,Nominee,1940,6.9,80,72,,,,,,,,,,,,,,,,,,,,,,,,
The Letter,Nominee,1940,7.6,100,82,,,,,,,,,,,,,,,,,,,,,,,,
The Long Voyage Home,Nominee,1940,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Town,Nominee,1940,6.6,86,46,,,,,,,,,,,,,,,,,,,,,,,,
The Philadelphia Story,Nominee,1940,7.9,100,93,,,,,,,,,,,,,,,,,,,,,,,,
How Green Was My Valley,Winner,1941,7.7,89,81,,,,,,,,,,,,,,,,,,,,,,,,
Blossoms in the Dust,Nominee,1941,6.9,33,72,,,,,,,,,,,,,,,,,,,,,,,,
Citizen Kane,Nominee,1941,8.3,100,90,,,,,,,,,,,,,,,,,,,,,,,,
Here Comes Mr. Jordan,Nominee,1941,7.6,100,83,,,,,,,,,,,,,,,,,,,,,,,,
Hold Back the Dawn,Nominee,1941,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Foxes,Nominee,1941,8,100,88,,,,,,,,,,,,,,,,,,,,,,,,
The Maltese Falcon,Nominee,1941,8,100,91,,,,,,,,,,,,,,,,,,,,,,,,
One Foot in Heaven,Nominee,1941,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergeant York,Nominee,1941,7.7,86,87,,,,,,,,,,,,,,,,,,,,,,,,
Suspicion,Nominee,1941,7.4,97,78,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Miniver,Winner,1942,7.6,93,85,,,,,,,,,,,,,,,,,,,,,,,,
49th Parallel,Nominee,1941,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Row,Nominee,1942,7.5,100,76,,,,,,,,,,,,,,,,,,,,,,,,
The Magnificent Ambersons,Nominee,1942,7.7,89,85,,,,,,,,,,,,,,,,,,,,,,,,
The Pied Piper,Nominee,1942,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pride of the Yankees,Nominee,1942,7.7,93,89,,,,,,,,,,,,,,,,,,,,,,,,
Random Harvest,Nominee,1942,8,90,88,,,,,,,,,,,,,,,,,,,,,,,,
The Talk of the Town,Nominee,1942,7.5,94,84,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,Nominee,1942,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Yankee Doodle Dandy,Nominee,1942,7.7,90,83,,,,,,,,,,,,,,,,,,,,,,,,
Casablanca,Winner,1942,8.5,99,95,,,,,,,,,,,,,,,,,,,,,,,,
For Whom the Bell Tolls,Nominee,1943,6.9,71,69,,,,,,,,,,,,,,,,,,,,,,,,
Heaven Can Wait,Nominee,1943,7.4,85,75,,,,,,,,,,,,,,,,,,,,,,,,
The Human Comedy,Nominee,1943,7,80,68,,,,,,,,,,,,,,,,,,,,,,,,
In Which We Serve,Nominee,1942,7.2,89,76,,,,,,,,,,,,,,,,,,,,,,,,
Madame Curie,Nominee,1943,7.2,86,67,,,,,,,,,,,,,,,,,,,,,,,,
The More the Merrier,Nominee,1943,7.7,94,82,,,,,,,,,,,,,,,,,,,,,,,,
The Ox-Bow Incident,Nominee,1942,8,,,,,,,,,,,,,,,,,,,,,,,,,,
The Song of Bernadette,Nominee,1943,7.6,87,80,,,,,,,,,,,,,,,,,,,,,,,,
Watch on the Rhine,Nominee,1943,7.3,80,63,,,,,,,,,,,,,,,,,,,,,,,,
Going My Way,Winner,1944,7.1,81,75,,,,,,,,,,,,,,,,,,,,,,,,
Double Indemnity,Nominee,1944,8.3,97,95,,,,,,,,,,,,,,,,,,,,,,,,
Gaslight,Nominee,1944,7.8,87,90,,,,,,,,,,,,,,,,,,,,,,,,
Since You Went Away,Nominee,1944,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson,Nominee,1944,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lost Weekend,Winner,1945,7.9,97,90,,,,,,,,,,,,,,,,,,,,,,,,
Anchors Aweigh,Nominee,1945,7.1,62,79,,,,,,,,,,,,,,,,,,,,,,,,
The Bells of St. Mary's,Nominee,1945,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Mildred Pierce,Nominee,1945,8,86,90,,,,,,,,,,,,,,,,,,,,,,,,
Spellbound,Nominee,1945,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best Years of Our Lives,Winner,1946,8.1,97,93,,,,,,,,,,,,,,,,,,,,,,,,
Henry V,Nominee,1944,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,Nominee,1946,8.6,94,95,,,,,,,,,,,,,,,,,,,,,,,,
The Razor's Edge,Nominee,1946,7.4,71,72,,,,,,,,,,,,,,,,,,,,,,,,
The Yearling,Nominee,1946,7.2,100,76,,,,,,,,,,,,,,,,,,,,,,,,
Gentleman's Agreement,Winner,1947,7.2,76,78,,,,,,,,,,,,,,,,,,,,,,,,
The Bishop's Wife,Nominee,1947,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossfire,Nominee,1947,7.3,82,74,,,,,,,,,,,,,,,,,,,,,,,,
Great Expectations,Nominee,1946,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Miracle on 34th Street,Nominee,1947,7.9,96,87,,,,,,,,,,,,,,,,,,,,,,,,
Hamlet,Winner,1948,7.6,95,80,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Belinda,Nominee,1948,7.8,89,88,,,,,,,,,,,,,,,,,,,,,,,,
The Red Shoes,Nominee,1948,8.1,97,92,,,,,,,,,,,,,,,,,,,,,,,,
The Snake Pit,Nominee,1948,7.6,100,83,,,,,,,,,,,,,,,,,,,,,,,,
The Treasure of the Sierra Madre,Nominee,1948,8.2,100,93,,,,,,,,,,,,,,,,,,,,,,,,
All the King's Men,Winner,1949,7.5,95,78,,,,,,,,,,,,,,,,,,,,,,,,
Battleground,Nominee,1949,7.5,75,82,,,,,,,,,,,,,,,,,,,,,,,,
The Heiress,Nominee,1949,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
A Letter to Three Wives,Nominee,1949,7.7,94,86,,,,,,,,,,,,,,,,,,,,,,,,
Twelve O'Clock High,Nominee,1949,7.7,96,87,,,,,,,,,,,,,,,,,,,,,,,,
All About Eve,Winner,1950,8.2,99,94,,,,,,,,,,,,,,,,,,,,,,,,
Born Yesterday,Nominee,1950,7.6,97,86,,,,,,,,,,,,,,,,,,,,,,,,
Father of the Bride,Nominee,1950,7.2,90,74,,,,,,,,,,,,,,,,,,,,,,,,
King Solomon's Mines,Nominee,1950,6.8,92,59,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Boulevard,Nominee,1950,8.4,99,95,,,,,,,,,,,,,,,,,,,,,,,,
An American in Paris,Winner,1951,7.2,96,79,,,,,,,,,,,,,,,,,,,,,,,,
Decision Before Dawn,Nominee,1951,7.2,100,71,,,,,,,,,,,,,,,,,,,,,,,,
A Place in the Sun,Nominee,1951,7.8,77,84,,,,,,,,,,,,,,,,,,,,,,,,
Quo Vadis,Nominee,1951,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
A Streetcar Named Desire,Nominee,1951,8,98,90,,,,,,,,,,,,,,,,,,,,,,,,
The Greatest Show on Earth,Winner,1952,6.6,42,54,,,,,,,,,,,,,,,,,,,,,,,,
High Noon,Nominee,1952,8,97,89,,,,,,,,,,,,,,,,,,,,,,,,
Ivanhoe,Nominee,1952,6.8,81,64,,,,,,,,,,,,,,,,,,,,,,,,
Moulin Rouge,Nominee,1952,7.1,78,90,,,,,,,,,,,,,,,,,,,,,,,,
The Quiet Man,Nominee,1952,7.8,91,91,,,,,,,,,,,,,,,,,,,,,,,,
From Here to Eternity,Winner,1953,7.6,92,84,,,,,,,,,,,,,,,,,,,,,,,,
Julius Caesar,Nominee,1953,7.3,95,81,,,,,,,,,,,,,,,,,,,,,,,,
The Robe,Nominee,1953,6.8,33,69,,,,,,,,,,,,,,,,,,,,,,,,
Roman Holiday,Nominee,1953,8,97,93,,,,,,,,,,,,,,,,,,,,,,,,
