Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,,,,,,,,,,,,,,,,,,,,,,,,
The Prince of Tides,Nominee,1991,6.7,69,70,,,,,,,,,,,,,,,,,,,,,,,,
Unforgiven,Winner,1992,8.2,96,93,,,,,,,,,,,,,,,,,,,,,,,,
The Crying Game,Nominee,1992,7.3,94,78,,,,,,,,,,,,,,,,,,,,,,,,
A Few Good Men,Nominee,1992,7.7,83,89,,,,,,,,,,,,,,,,,,,,,,,,
Howards End,Nominee,1992,7.4,94,82,,,,,,,,,,,,,,,,,,,,,,,,
Scent of a Woman,Nominee,1992,8,89,92,,,,,,,,,,,,,,,,,,,,,,,,
Schindler's List,Winner,1993,8.9,97,97,,,,,,,,,,,,,,,,,,,,,,,,
The Fugitive,Nominee,1993,7.8,96,89,,,,,,,,,,,,,,,,,,,,,,,,
In the Name of the Father,Nominee,1993,8.1,94,95,,,,,,,,,,,,,,,,,,,,,,,,
The Piano,Nominee,1993,7.6,92,86,,,,,,,,,,,,,,,,,,,,,,,,
The Remains of the Day,Nominee,1993,7.8,95,89,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Gump,Winner,1994,8.8,71,95,,,,,,,,,,,,,,,,,,,,,,,,
Four Weddings and a Funeral,Nominee,1994,7.1,96,74,,,,,,,,,,,,,,,,,,,,,,,,
Pulp Fiction,Nominee,1994,8.9,92,96,,,,,,,,,,,,,,,,,,,,,,,,
Quiz Show,Nominee,1994,7.5,96,87,,,,,,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption,Nominee,1994,9.3,91,98,,,,,,,,,,,,,,,,,,,,,,,,
Braveheart,Winner,1995,8.3,78,85,,,,,,,,,,,,,,,,,,,,,,,,
Apollo 13,Nominee,1995,7.6,96,87,,,,,,,,,,,,,,,,,,,,,,,,
Babe,Nominee,1995,6.8,97,67,,,,,,,,,,,,,,,,,,,,,,,,
The Postman (Il Postino),Nominee,1994,7.7,94,94,,,,,,,,,,,,,,,,,,,,,,,,
Sense and Sensibility,Nominee,1995,7.7,97,90,,,,,,,,,,,,,,,,,,,,,,,,
The English Patient,Winner,1996,7.4,85,83,,,,,,,,,,,,,,,,,,,,,,,,
Fargo,Nominee,1996,8.1,94,93,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Maguire,Nominee,1996,7.3,84,79,,,,,,,,,,,,,,,,,,,,,,,,
Secrets & Lies,Nominee,1996,8,95,91,,,,,,,,,,,,,,,,,,,,,,,,
Shine,Nominee,1996,7.7,91,90,,,,,,,,,,,,,,,,,,,,,,,,
Titanic,Winner,1997,7.8,89,69,,,,,,,,,,,,,,,,,,,,,,,,
As Good as It Gets,Nominee,1997,7.7,85,86,,,,,,,,,,,,,,,,,,,,,,,,
The Full Monty,Nominee,1997,7.2,96,79,,,,,,,,,,,,,,,,,,,,,,,,
Good Will Hunting,Nominee,1997,8.3,97,94,,,,,,,,,,,,,,,,,,,,,,,,
L.A. Confidential,Nominee,1997,8.2,99,94,,,,,,,,,,,,,,,,,,,,,,,,
Shakespeare in Love,Winner,1998,7.1,92,80,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,Nominee,1998,7.4,82,86,,,,,,,,,,,,,,,,,,,,,,,,
Life Is Beautiful,Nominee,1997,8.6,80,96,,,,,,,,,,,,,,,,,,,,,,,,
Saving Private Ryan,Nominee,1998,8.6,93,95,,,,,,,,,,,,,,,,,,,,,,,,
The Thin Red Line,Nominee,1998,7.6,80,80,,,,,,,,,,,,,,,,,,,,,,,,
American Beauty,Winner,1999,8.3,87,93,,,,,,,,,,,,,,,,,,,,,,,,
The Cider House Rules,Nominee,1999,7.4,71,77,,,,,,,,,,,,,,,,,,,,,,,,
The Green Mile,Nominee,1999,8.6,78,94,,,,,,,,,,,,,,,,,,,,,,,,
The Insider,Nominee,1999,7.8,96,90,,,,,,,,,,,,,,,,,,,,,,,,
The Sixth Sense,Nominee,1999,8.1,86,90,,,,,,,,,,,,,,,,,,,,,,,,
Gladiator,Winner,2000,8.5,77,87,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat,Nominee,2000,7.2,62,83,,,,,,,,,,,,,,,,,,,,,,,,
"Crouching Tiger, Hidden Dragon",Nominee,2000,7.8,97,86,,,,,,,,,,,,,,,,,,,,,,,,
Erin Brockovich,Nominee,2000,7.4,84,81,,,,,,,,,,,,,,,,,,,,,,,,
Traffic,Nominee,2000,7.6,93,85,,,,,,,,,,,,,,,,,,,,,,,,
A Beautiful Mind,Winner,2001,8.2,74,93,,,,,,,,,,,,,,,,,,,,,,,,
Gosford Park,Nominee,2001,7.2,86,78,,,,,,,,,,,,,,,,,,,,,,,,
In the Bedroom,Nominee,2001,7.4,93,81,,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,Nominee,2001,8.8,91,95,,,,,,,,,,,,,,,,,,,,,,,,
Moulin Rouge!,Nominee,2001,7.6,76,89,,,,,,,,,,,,,,,,,,,,,,,,
Chicago,Winner,2002,7.2,86,83,,,,,,,,,,,,,,,,,,,,,,,,
Gangs of New York,Nominee,2002,7.5,73,81,,,,,,,,,,,,,,,,,,,,,,,,
The Hours,Nominee,2002,7.5,80,84,,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers,Nominee,2002,8.7,95,95,,,,,,,,,,,,,,,,,,,,,,,,
The Pianist,Nominee,2002,8.5,95,96,,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Return of the King,Winner,2003,8.9,93,86,,,,,,,,,,,,,,,,,,,,,,,,
Lost in Translation,Nominee,2003,7.7,95,85,,,,,,,,,,,,,,,,,,,,,,,,
Master and Commander: The Far Side of the World,Nominee,2003,7.4,85,80,,,,,,,,,,,,,,,,,,,,,,,,
Mystic River,Nominee,2003,7.9,88,89,,,,,,,,,,,,,,,,,,,,,,,,
Seabiscuit,Nominee,2003,7.3,78,76,,,,,,,,,,,,,,,,,,,,,,,,
Million Dollar Baby,Winner,2004,8.1,91,90,,,,,,,,,,,,,,,,,,,,,,,,
The Aviator,Nominee,2004,7.5,86,79,,,,,,,,,,,,,,,,,,,,,,,,
Finding Neverland,Nominee,2004,7.7,83,87,,,,,,,,,,,,,,,,,,,,,,,,
Ray,Nominee,2004,7.7,80,87,,,,,,,,,,,,,,,,,,,,,,,,
Sideways,Nominee,2004,7.5,97,79,,,,,,,,,,,,,,,,,,,,,,,,
Crash,Winner,2005,7.7,74,88,,,,,,,,,,,,,,,,,,,,,,,,
Brokeback Mountain,Nominee,2005,7.7,87,82,,,,,,,,,,,,,,,,,,,,,,,,
Capote,Nominee,2005,7.3,90,82,,,,,,,,,,,,,,,,,,,,,,,,
"Good Night, and Good Luck",Nominee,2005,7.4,93,83,,,,,,,,,,,,,,,,,,,,,,,,
Munich,Nominee,2005,7.5,78,83,,,,,,,,,,,,,,,,,,,,,,,,
The Departed,Winner,2006,8.5,91,94,,,,,,,,,,,,,,,,,,,,,,,,
Babel,Nominee,2006,7.4,69,77,,,,,,,,,,,,,,,,,,,,,,,,
Letters from Iwo Jima,Nominee,2006,7.9,91,86,,,,,,,,,,,,,,,,,,,,,,,,
Little Miss Sunshine,Nominee,2006,7.8,91,91,,,,,,,,,,,,,,,,,,,,,,,,
The Queen,Nominee,2006,7.3,96,76,,,,,,,,,,,,,,,,,,,,,,,,
No Country for Old Men,Winner,2007,8.1,93,86,,,,,,,,,,,,,,,,,,,,,,,,
Atonement,Nominee,2007,7.8,83,80,,,,,,,,,,,,,,,,,,,,,,,,
Juno,Nominee,2007,7.4,94,88,,,,,,,,,,,,,,,,,,,,,,,,
Michael Clayton,Nominee,2007,7.2,91,69,,,,,,,,,,,,,,,,,,,,,,,,
There Will Be Blood,Nominee,2007,8.2,92,86,,,,,,,,,,,,,,,,,,,,,,,,
Slumdog Millionaire,Winner,2008,8,91,90,,,,,,,,,,,,,,,,,,,,,,,,
The Curious Case of Benjamin Button,Nominee,2008,7.8,72,80,,,,,,,,,,,,,,,,,,,,,,,,
Frost/Nixon,Nominee,2008,7.7,93,88,,,,,,,,,,,,,,,,,,,,,,,,
Milk,Nominee,2008,7.5,93,89,,,,,,,,,,,,,,,,,,,,,,,,
The Reader,Nominee,2008,7.6,63,79,,,,,,,,,,,,,,,,,,,,,,,,
The Hurt Locker,Winner,2008,7.5,97,84,,,,,,,,,,,,,,,,,,,,,,,,
Avatar,Nominee,2009,7.8,82,82,,,,,,,,,,,,,,,,,,,,,,,,
The Blind Side,Nominee,2009,7.6,66,85,,,,,,,,,,,,,,,,,,,,,,,,
District 9,Nominee,2009,7.9,90,82,,,,,,,,,,,,,,,,,,,,,,,,
An Education,Nominee,2009,7.3,94,80,,,,,,,,,,,,,,,,,,,,,,,,
Inglourious Basterds,Nominee,2009,8.3,89,88,,,,,,,,,,,,,,,,,,,,,,,,
Precious: Based on the Novel 'Push' by Sapphire,Nominee,2009,7.3,92,81,,,,,,,,,,,,,,,,,,,,,,,,
A Serious Man,Nominee,2009,7.1,90,68,,,,,,,,,,,,,,,,,,,,,,,,
Up,Nominee,2009,8.2,98,90,,,,,,,,,,,,,,,,,,,,,,,,
Up in the Air,Nominee,2009,7.4,91,79,,,,,,,,,,,,,,,,,,,,,,,,
The King's Speech,Winner,2010,8,94,92,,,,,,,,,,,,,,,,,,,,,,,,
127 Hours,Nominee,2010,7.5,93,85,,,,,,,,,,,,,,,,,,,,,,,,
Black Swan,Nominee,2010,8,85,84,,,,,,,,,,,,,,,,,,,,,,,,
The Fighter,Nominee,2010,7.8,90,89,,,,,,,,,,,,,,,,,,,,,,,,
Inception,Nominee,2010,8.8,87,91,,,,,,,,,,,,,,,,,,,,,,,,
The Kids Are All Right,Nominee,2010,7,92,74,,,,,,,,,,,,,,,,,,,,,,,,
The Social Network,Nominee,2010,7.7,96,86,,,,,,,,,,,,,,,,,,,,,,,,
Toy Story 3,Nominee,2010,8.2,98,89,,,,,,,,,,,,,,,,,,,,,,,,
True Grit,Nominee,2010,7.6,96,85,,,,,,,,,,,,,,,,,,,,,,,,
Winter's Bone,Nominee,2010,7.2,94,76,,,,,,,,,,,,,,,,,,,,,,,,
The Artist,Winner,2011,7.9,95,87,,,,,,,,,,,,,,,,,,,,,,,,
The Descendants,Nominee,2011,7.3,88,79,,,,,,,,,,,,,,,,,,,,,,,,
Extremely Loud & Incredibly Close,Nominee,2011,6.9,45,61,,,,,,,,,,,,,,,,,,,,,,,,
The Help,Nominee,2011,8,76,89,,,,,,,,,,,,,,,,,,,,,,,,
Hugo,Nominee,2011,7.5,93,78,,,,,,,,,,,,,,,,,,,,,,,,
Midnight in Paris,Nominee,2011,7.7,93,83,,,,,,,,,,,,,,,,,,,,,,,,
Moneyball,Nominee,2011,7.6,94,86,,,,,,,,,,,,,,,,,,,,,,,,
The Tree of Life,Nominee,2011,6.8,85,60,,,,,,,,,,,,,,,,,,,,,,,,
War Horse,Nominee,2011,7.2,75,74,,,,,,,,,,,,,,,,,,,,,,,,
Argo,Winner,2012,7.7,96,90,,,,,,,,,,,,,,,,,,,,,,,,
Amour,Nominee,2012,7.9,93,82,,,,,,,,,,,,,,,,,,,,,,,,
Beasts of the Southern Wild,Nominee,2012,7.3,87,76,,,,,,,,,,,,,,,,,,,,,,,,
Django Unchained,Nominee,2012,8.4,87,91,,,,,,,,,,,,,,,,,,,,,,,,
Life of Pi,Nominee,2012,7.9,87,84,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Nominee,2012,7.3,89,81,,,,,,,,,,,,,,,,,,,,,,,,
Les Misérables,Nominee,2012,7.6,69,79,,,,,,,,,,,,,,,,,,,,,,,,
Silver Linings Playbook,Nominee,2012,7.7,92,86,,,,,,,,,,,,,,,,,,,,,,,,
Zero Dark Thirty,Nominee,2012,7.4,91,80,,,,,,,,,,,,,,,,,,,,,,,,
12 Years a Slave,Winner,2013,8.1,95,90,,,,,,,,,,,,,,,,,,,,,,,,
American Hustle,Nominee,2013,7.2,92,74,,,,,,,,,,,,,,,,,,,,,,,,
Captain Phillips,Nominee,2013,7.8,93,89,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Buyers Club,Nominee,2013,8,93,91,,,,,,,,,,,,,,,,,,,,,,,,
Gravity,Nominee,2013,7.7,96,80,,,,,,,,,,,,,,,,,,,,,,,,
Her,Nominee,2013,8,95,82,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Nominee,2013,7.7,91,83,,,,,,,,,,,,,,,,,,,,,,,,
Philomena,Nominee,2013,7.6,90,89,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,Nominee,2013,8.2,80,83,,,,,,,,,,,,,,,,,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),Winner,2014,7.7,91,78,,,,,,,,,,,,,,,,,,,,,,,,
American Sniper,Nominee,2014,7.3,72,84,,,,,,,,,,,,,,,,,,,,,,,,
Boyhood,Nominee,2014,7.9,97,81,,,,,,,,,,,,,,,,,,,,,,,,
The Grand Budapest Hotel,Nominee,2014,8.1,91,86,,,,,,,,,,,,,,,,,,,,,,,,
The Imitation Game,Nominee,2014,8,89,91,,,,,,,,,,,,,,,,,,,,,,,,
Selma,Nominee,2014,7.5,99,86,,,,,,,,,,,,,,,,,,,,,,,,
The Theory of Everything,Nominee,2014,7.7,80,84,,,,,,,,,,,,,,,,,,,,,,,,
Whiplash,Nominee,2014,8.5,94,94,,,,,,,,,,,,,,,,,,,,,,,,
Spotlight,Winner,2015,8.1,97,93,,,,,,,,,,,,,,,,,,,,,,,,
The Big Short,Nominee,2015,7.8,88,88,,,,,,,,,,,,,,,,,,,,,,,,
Bridge of Spies,Nominee,2015,7.6,90,87,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Nominee,2015,7.5,97,87,,,,,,,,,,,,,,,,,,,,,,,,
Mad Max: Fury Road,Nominee,2015,8.1,97,85,,,,,,,,,,,,,,,,,,,,,,,,
The Martian,Nominee,2015,8,91,91,,,,,,,,,,,,,,,,,,,,,,,,
The Revenant,Nominee,2015,8,78,84,,,,,,,,,,,,,,,,,,,,,,,,
Room,Nominee,2015,8.1,93,93,,,,,,,,,,,,,,,,,,,,,,,,
Moonlight,Winner,2016,7.4,98,79,,,,,,,,,,,,,,,,,,,,,,,,
Arrival,Nominee,2016,7.9,94,82,,,,,,,,,,,,,,,,,,,,,,,,
Fences,Nominee,2016,7.2,92,75,,,,,,,,,,,,,,,,,,,,,,,,
Hacksaw Ridge,Nominee,2016,8.1,84,91,,,,,,,,,,,,,,,,,,,,,,,,
Hell or High Water,Nominee,2016,7.6,97,88,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Figures,Nominee,2016,7.8,93,93,,,,,,,,,,,,,,,,,,,,,,,,
La La Land,Nominee,2016,8,91,81,,,,,,,,,,,,,,,,,,,,,,,,
Lion,Nominee,2016,8,84,91,,,,,,,,,,,,,,,,,,,,,,,,
Manchester by the Sea,Nominee,2016,7.8,96,78,,,,,,,,,,,,,,,,,,,,,,,,
The Shape of Water,Winner,2017,7.3,92,72,,,,,,,,,,,,,,,,,,,,,,,,
Call Me by Your Name,Nominee,2017,7.9,94,86,,,,,,,,,,,,,,,,,,,,,,,,
Darkest Hour,Nominee,2017,7.4,84,82,,,,,,,,,,,,,,,,,,,,,,,,
Dunkirk,Nominee,2017,7.8,92,81,,,,,,,,,,,,,,,,,,,,,,,,
Get Out,Nominee,2017,7.7,98,86,,,,,,,,,,,,,,,,,,,,,,,,
Lady Bird,Nominee,2017,7.4,99,79,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Thread,Nominee,2017,7.5,91,71,,,,,,,,,,,,,,,,,,,,,,,,
The Post,Nominee,2017,7.2,88,73,,,,,,,,,,,,,,,,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",Nominee,2017,8.1,90,87,,,,,,,,,,,,,,,,,,,,,,,,
Green Book,Winner,2018,8.2,77,91,,,,,,,,,,,,,,,,,,,,,,,,
Black Panther,Nominee,2018,7.3,96,79,,,,,,,,,,,,,,,,,,,,,,,,
BlacKkKlansman,Nominee,2018,7.5,96,83,,,,,,,,,,,,,,,,,,,,,,,,
Bohemian Rhapsody,Nominee,2018,7.9,60,85,,,,,,,,,,,,,,,,,,,,,,,,
The Favourite,Nominee,2018,7.5,93,69,,,,,,,,,,,,,,,,,,,,,,,,
Roma,Nominee,2018,7.7,96,72,,,,,,,,,,,,,,,,,,,,,,,,
A Star Is Born,Nominee,2018,7.6,90,79,,,,,,,,,,,,,,,,,,,,,,,,
Vice,Nominee,2018,7.2,65,60,,,,,,,,,,,,,,,,,,,,,,,,
Parasite,Winner,2019,8.6,98,90,,,,,,,,,,,,,,,,,,,,,,,,
1917,Nominee,2019,8.3,88,88,,,,,,,,,,,,,,,,,,,,,,,,
Ford v Ferrari,Nominee,2019,8.1,92,98,,,,,,,,,,,,,,,,,,,,,,,,
The Irishman,Nominee,2019,7.8,96,86,,,,,,,,,,,,,,,,,,,,,,,,
Jojo Rabbit,Nominee,2019,7.9,80,94,,,,,,,,,,,,,,,,,,,,,,,,
Joker,Nominee,2019,8.4,68,88,,,,,,,,,,,,,,,,,,,,,,,,
Little Women,Nominee,2019,7.8,95,92,,,,,,,,,,,,,,,,,,,,,,,,
Marriage Story,Nominee,2019,7.9,94,85,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time in Hollywood,Nominee,2019,7.6,85,70,,,,,,,,,,,,,,,,,,,,,,,,
Nomadland,Winner,2020,7.4,93,82,,,,,,,,,,,,,,,,,,,,,,,,
The Father,Nominee,2020,8.3,98,92,,,,,,,,,,,,,,,,,,,,,,,,
Judas and the Black Messiah,Nominee,2020,7.5,97,95,,,,,,,,,,,,,,,,,,,,,,,,
Mank,Nominee,2020,6.9,83,59,,,,,,,,,,,,,,,,,,,,,,,,
Minari,Nominee,2020,7.5,98,87,,,,,,,,,,,,,,,,,,,,,,,,
Promising Young Woman,Nominee,2020,7.5,90,87,,,,,,,,,,,,,,,,,,,,,,,,
Sound of Metal,Nominee,2020,7.8,97,90,,,,,,,,,,,,,,,,,,,,,,,,
The Trial of the Chicago 7,Nominee,2020,7.8,89,90,,,,,,,,,,,,,,,,,,,,,,,,
